Num	Source	Distance	LR	ppmm	LR_target
6	flange	12	0	3.0	0
6	flange	12	0	38.0	0
6	flange	12	0	61.0	0
6	flange	12	0	10.0	0
6	flange	12	0	11.0	0
6	flange	12	0	28.0	0
6	flange	12	0	4.0	0
6	flange	12	0	10.0	0
6	flange	12	0	15.0	0
6	flange	12	0	11.0	0
6	flange	12	0	15.0	0
6	flange	12	0	23.0	0
6	flange	12	0	7.0	0
6	flange	12	0	0.0	0
6	flange	12	0	29.0	0
6	flange	12	0	32.0	0
6	flange	12	0	0.0	0
6	flange	12	0	2.0	0
6	flange	12	0	10.0	0
6	flange	12	0	18.0	0
6	flange	12	0	34.0	0
6	flange	12	0	16.0	0
6	flange	12	0	33.0	0
6	flange	12	0	34.0	0
6	flange	12	0	12.0	0
6	flange	12	0	1.0	0
6	flange	12	0	26.0	0
6	flange	12	0	12.0	0
6	flange	12	0	2.0	0
6	flange	12	0	15.0	0
6	flange	12	0	1.0	0
6	flange	12	0	3.0	0
6	flange	12	0	6.0	0
6	flange	12	0	61.0	0
6	flange	12	0	17.0	0
6	flange	12	0	27.0	0
6	flange	12	0	22.0	0
6	flange	12	0	52.0	0
6	flange	12	0	22.0	0
6	flange	12	0	25.0	0
6	flange	12	0	24.0	0
6	flange	12	0	6.0	0
6	flange	12	0	43.0	0
6	flange	12	0	1.0	0
6	flange	12	0	24.0	0
6	flange	12	0	28.0	0
6	flange	12	0	47.0	0
6	flange	12	0	40.0	0
6	flange	12	0	16.0	0
6	flange	12	0	35.0	0
6	flange	12	0	3.0	0
6	flange	12	0	31.0	0
6	flange	12	0	2.0	0
6	flange	12	0	54.0	0
6	flange	12	0	48.0	0
6	flange	12	0	43.0	0
6	flange	12	0	46.0	0
6	flange	12	0	10.0	0
6	flange	12	0	5.0	0
6	flange	12	0	1.0	0
6	flange	12	0	13.0	0
6	flange	12	0	1.0	0
6	flange	12	0	1.0	0
6	flange	12	0	30.0	0
6	flange	12	0	32.0	0
6	flange	12	0	4.0	0
6	flange	12	0	21.0	0
6	flange	12	0	1.0	0
6	flange	12	0	39.0	0
6	flange	12	0	4.0	0
6	flange	12	0	50.0	0
6	flange	12	0	46.0	0
6	flange	12	0	75.0	0
6	flange	12	0	21.0	0
6	flange	12	0	1.0	0
6	flange	12	0	8.0	0
6	flange	12	0	2.0	0
6	flange	12	0	17.0	0
6	flange	12	0	7.0	0
6	flange	12	0	45.0	0
6	flange	12	0	126.0	0
6	flange	12	0	100.0	0
6	flange	12	0	13.0	0
6	flange	12	0	64.0	0
6	flange	12	0	25.0	0
6	flange	12	0	57.0	0
6	flange	12	0	2.0	0
6	flange	12	0	7.0	0
6	flange	12	0	2.0	0
6	flange	12	0	26.0	0
6	flange	12	0	22.0	0
6	flange	12	0	15.0	0
6	flange	12	0	10.0	0
6	flange	12	0	12.0	0
6	flange	12	0	21.0	0
6	flange	12	0	42.0	0
6	flange	12	0	2.0	0
6	flange	12	0	40.0	0
6	flange	12	0	19.0	0
6	flange	12	0	27.0	0
6	flange	12	0	4.0	0
6	flange	12	0	7.0	0
6	flange	12	0	22.0	0
6	flange	12	0	5.0	0
6	flange	12	0	5.0	0
6	flange	12	0	20.0	0
6	flange	12	0	1.0	0
6	flange	12	0	9.0	0
7	flange	15	0	9.0	0
7	flange	15	0	6.0	0
7	flange	15	0	18.0	0
7	flange	15	0	4.0	0
7	flange	15	0	10.0	0
7	flange	15	0	1.0	0
7	flange	15	0	3.0	0
7	flange	15	0	11.0	0
7	flange	15	0	25.0	0
7	flange	15	0	27.0	0
7	flange	15	0	15.0	0
7	flange	15	0	28.0	0
7	flange	15	0	22.0	0
7	flange	15	0	9.0	0
7	flange	15	0	12.0	0
7	flange	15	0	52.0	0
7	flange	15	0	162.0	0
7	flange	15	0	3.0	0
7	flange	15	0	6.0	0
7	flange	15	0	30.0	0
7	flange	15	0	9.0	0
7	flange	15	0	6.0	0
7	flange	15	0	2.0	0
7	flange	15	0	54.0	0
7	flange	15	0	119.0	0
7	flange	15	0	8.0	0
7	flange	15	0	25.0	0
7	flange	15	0	10.0	0
7	flange	15	0	20.0	0
7	flange	15	0	9.0	0
7	flange	15	0	5.0	0
7	flange	15	0	93.0	0
7	flange	15	0	3.0	0
7	flange	15	0	96.0	0
7	flange	15	0	6.0	0
7	flange	15	0	9.0	0
7	flange	15	0	4.0	0
7	flange	15	0	103.0	0
7	flange	15	0	40.0	0
7	flange	15	0	46.0	0
7	flange	15	0	8.0	0
7	flange	15	0	15.0	0
7	flange	15	0	26.0	0
7	flange	15	0	39.0	0
7	flange	15	0	20.0	0
7	flange	15	0	46.0	0
7	flange	15	0	2.0	0
7	flange	15	0	27.0	0
7	flange	15	0	1.0	0
7	flange	15	0	23.0	0
7	flange	15	0	39.0	0
7	flange	15	0	6.0	0
7	flange	15	0	9.0	0
7	flange	15	0	1.0	0
7	flange	15	0	11.0	0
7	flange	15	0	42.0	0
7	flange	15	0	13.0	0
7	flange	15	0	26.0	0
7	flange	15	0	17.0	0
7	flange	15	0	35.0	0
7	flange	15	0	17.0	0
7	flange	15	0	34.0	0
7	flange	15	0	10.0	0
7	flange	15	0	54.0	0
7	flange	15	0	33.0	0
7	flange	15	0	58.0	0
7	flange	15	0	22.0	0
7	flange	15	0	50.0	0
7	flange	15	0	30.0	0
7	flange	15	0	33.0	0
7	flange	15	0	17.0	0
7	flange	15	0	11.0	0
7	flange	15	0	22.0	0
7	flange	15	0	0.0	0
7	flange	15	0	5.0	0
7	flange	15	0	4.0	0
7	flange	15	0	9.0	0
7	flange	15	0	23.0	0
7	flange	15	0	18.0	0
7	flange	15	0	4.0	0
7	flange	15	0	7.0	0
7	flange	15	0	1.0	0
7	flange	15	0	31.0	0
7	flange	15	0	11.0	0
7	flange	15	0	3.0	0
7	flange	15	0	13.0	0
7	flange	15	0	32.0	0
7	flange	15	0	18.0	0
7	flange	15	0	56.0	0
7	flange	15	0	46.0	0
7	flange	15	0	17.0	0
7	flange	15	0	19.0	0
7	flange	15	0	61.0	0
7	flange	15	0	11.0	0
7	flange	15	0	30.0	0
7	flange	15	0	33.0	0
7	flange	15	0	9.0	0
7	flange	15	0	10.0	0
7	flange	15	0	17.0	0
7	flange	15	0	19.0	0
7	flange	15	0	40.0	0
7	flange	15	0	38.0	0
7	flange	15	0	10.0	0
7	flange	15	0	31.0	0
7	flange	15	0	25.0	0
7	flange	15	0	24.0	0
7	flange	15	0	13.0	0
7	flange	15	0	5.0	0
7	flange	15	0	24.0	0
7	flange	15	0	12.0	0
7	flange	15	0	7.0	0
7	flange	15	0	2.0	0
7	flange	15	0	10.0	0
7	flange	15	0	24.0	0
7	flange	15	0	25.0	0
7	flange	15	0	18.0	0
7	flange	15	0	48.0	0
7	flange	15	0	32.0	0
7	flange	15	0	51.0	0
7	flange	15	0	28.0	0
7	flange	15	0	14.0	0
7	flange	15	0	19.0	0
7	flange	15	0	12.0	0
7	flange	15	0	3.0	0
7	flange	15	0	13.0	0
8	flange	20	0	42.0	0
8	flange	20	0	77.0	0
8	flange	20	0	3.0	0
8	flange	20	0	33.0	0
8	flange	20	0	2.0	0
8	flange	20	0	48.0	0
8	flange	20	0	11.0	0
8	flange	20	0	65.0	0
8	flange	20	0	41.0	0
8	flange	20	0	30.0	0
8	flange	20	0	49.0	0
8	flange	20	0	28.0	0
8	flange	20	0	25.0	0
8	flange	20	0	30.0	0
8	flange	20	0	5.0	0
8	flange	20	0	63.0	0
8	flange	20	0	34.0	0
8	flange	20	0	4.0	0
8	flange	20	0	23.0	0
8	flange	20	0	25.0	0
8	flange	20	0	20.0	0
8	flange	20	0	45.0	0
8	flange	20	0	29.0	0
8	flange	20	0	50.0	0
8	flange	20	0	40.0	0
8	flange	20	0	88.0	0
8	flange	20	0	43.0	0
8	flange	20	0	5.0	0
8	flange	20	0	8.0	0
8	flange	20	0	12.0	0
8	flange	20	0	13.0	0
8	flange	20	0	9.0	0
8	flange	20	0	83.0	0
8	flange	20	0	33.0	0
8	flange	20	0	14.0	0
8	flange	20	0	52.0	0
8	flange	20	0	88.0	0
8	flange	20	0	56.0	0
8	flange	20	0	50.0	0
8	flange	20	0	55.0	0
8	flange	20	0	102.0	0
8	flange	20	0	63.0	0
8	flange	20	0	215.0	0
8	flange	20	0	97.0	0
8	flange	20	0	90.0	0
8	flange	20	0	151.0	0
8	flange	20	0	93.0	0
8	flange	20	0	148.0	0
8	flange	20	0	64.0	0
8	flange	20	0	45.0	0
8	flange	20	0	45.0	0
8	flange	20	0	63.0	0
8	flange	20	0	20.0	0
8	flange	20	0	18.0	0
8	flange	20	0	29.0	0
8	flange	20	0	25.0	0
8	flange	20	0	33.0	0
8	flange	20	0	64.0	0
8	flange	20	0	71.0	0
8	flange	20	0	56.0	0
8	flange	20	0	75.0	0
8	flange	20	0	33.0	0
8	flange	20	0	42.0	0
8	flange	20	0	4.0	0
8	flange	20	0	60.0	0
8	flange	20	0	38.0	0
8	flange	20	0	49.0	0
8	flange	20	0	55.0	0
8	flange	20	0	76.0	0
